iter	RMSE
0	0.2004055885
1	0.1968431035
2	0.1929692488
3	0.1894368529
4	0.18589212
5	0.1822662352
6	0.1784695348
7	0.1747624669
8	0.1719387794
9	0.1690036489
10	0.1658967689
11	0.163380432
12	0.1609203797
13	0.1585859376
14	0.1559149023
15	0.1531044922
16	0.1501715424
17	0.1473075399
18	0.1447438213
19	0.1419698141
20	0.1394708641
21	0.13743633
22	0.135426573
23	0.1333709835
24	0.1309813462
25	0.1289009654
26	0.1267880623
27	0.125038393
28	0.1232794049
29	0.1210033908
30	0.1194982453
31	0.1176680406
32	0.1154325633
33	0.1139307707
34	0.1118190279
35	0.1103160174
36	0.1087673015
37	0.107042493
38	0.1050124878
39	0.1034582095
40	0.1015569327
41	0.1001440997
42	0.09863289322
43	0.09738357021
44	0.09592277445
45	0.0947174072
46	0.09313303096
47	0.09180111485
48	0.09061991213
49	0.08960528764
50	0.08876254712
51	0.0878390839
52	0.08647003562
53	0.08499511142
54	0.0836327846
55	0.08264872558
56	0.08167269487
57	0.08074588236
58	0.07978404884
59	0.07903284032
60	0.07806060239
61	0.07703213055
62	0.07572071659
63	0.07507323548
64	0.074011164
65	0.07329318052
66	0.07255465538
67	0.07172227643
68	0.07087573117
69	0.07040515732
70	0.06971069678
71	0.06876549186
72	0.06816266185
73	0.06754557268
74	0.06686146736
75	0.06614442066
76	0.06580346153
77	0.06513647619
78	0.06458838152
79	0.06404089793
80	0.06350667315
81	0.06294458232
82	0.06263420115
83	0.06232761802
84	0.06174659601
85	0.06148785932
86	0.0607266459
87	0.06019814619
88	0.05989205869
89	0.05964617177
90	0.05886859265
91	0.05823144914
92	0.05782656398
93	0.05708305452
94	0.05631469966
95	0.05607394915
96	0.05540141372
97	0.05528462073
98	0.05504470169
99	0.05471074723
100	0.05446751597
101	0.05385922562
102	0.05347372779
103	0.05315145859
104	0.05275688822
105	0.05258013737
106	0.05218677138
107	0.05167503959
108	0.05140828729
109	0.05098853279
110	0.05059374262
111	0.05037169381
112	0.05002511167
113	0.04982488084
114	0.04953746355
115	0.0491111676
116	0.04905390895
117	0.04875214716
118	0.04831139848
119	0.04781288345
120	0.04771936551
121	0.04753191737
122	0.04732497131
123	0.04699726781
124	0.0468830107
125	0.04660156732
126	0.04643527201
127	0.04619491992
128	0.04610393283
129	0.04578757854
130	0.04562092338
131	0.04544018682
132	0.0450351991
133	0.04473056802
134	0.0443205853
135	0.04393973175
136	0.04364790184
137	0.04323386023
138	0.04272902138
139	0.04255323301
140	0.04223702864
141	0.04215113468
142	0.04182358404
143	0.04170872261
144	0.04141519952
145	0.04114383415
146	0.04079517926
147	0.04070285102
148	0.04053085306
149	0.04029394476
150	0.04021872826
151	0.04004365802
152	0.03991614403
153	0.03979051962
154	0.03972235109
155	0.03960239356
156	0.03939880449
157	0.03928002637
158	0.03921229128
159	0.03867586875
160	0.03853029742
161	0.03826116541
162	0.0380333051
163	0.03797602653
164	0.03779154112
165	0.03772627706
166	0.03759212081
167	0.03732262656
168	0.03726349424
169	0.03708223081
170	0.03689810716
171	0.03672051203
172	0.03662405757
173	0.03651670351
174	0.03625287427
175	0.03609833824
